Specialty,Day,BedsAvailable,BedsUsed
1,1,6,6
1,2,8,8
1,3,8,8
1,4,9,9
1,5,11,9
1,6,15,9
1,7,15,9
3,1,2,2
3,2,5,5
3,3,5,5
3,4,6,5
3,5,10,5
3,6,13,5
3,7,13,5
5,1,12,0
5,2,12,0
5,3,12,0
5,4,12,0
5,5,12,0
5,6,12,0
5,7,12,0
7,1,18,0
7,2,18,0
7,3,18,0
7,4,18,0
7,5,18,0
7,6,18,0
7,7,18,0
1,8,15,9
1,9,15,9
1,10,15,8
1,11,15,6
1,12,15,5
1,13,15,0
1,14,15,0
3,8,13,5
3,9,13,3
3,10,13,3
3,11,13,2
3,12,13,0
3,13,13,0
3,14,13,0
5,8,12,0
5,9,12,0
5,10,12,0
5,11,12,0
5,12,12,0
5,13,12,0
5,14,12,0
7,8,18,0
7,9,18,0
7,10,18,0
7,11,18,0
7,12,18,0
7,13,18,0
7,14,18,0
1,-7,0,0
1,-6,0,0
1,-5,0,0
1,-4,0,0
1,-3,0,0
1,-2,6,6
1,-1,6,6
3,-7,0,0
3,-6,1,0
3,-5,0,0
3,-4,1,0
3,-3,2,0
3,-2,2,0
3,-1,2,2
5,-7,12,0
5,-6,12,0
5,-5,12,0
5,-4,12,0
5,-3,12,0
5,-2,12,0
5,-1,12,0
7,-7,18,0
7,-6,18,0
7,-5,18,0
7,-4,18,0
7,-3,18,0
7,-2,18,0
7,-1,18,0
